WGTP,PWGTP,NOC,PERNP,AGEP,CPLT,COW,QTRBIR,SEX,HHL,TEN,RAC1P,SCHL,JWTRNS,ST,
0,65,-1,7100,21,0,1,1,2,0,0,1,19,0,26,
0,51,-1,4000,19,0,1,1,1,0,0,1,19,0,26,
0,31,-1,4000,18,0,1,2,1,0,0,1,16,0,26,
0,70,-1,-10001,4,0,0,2,1,0,0,2,1,0,26,
0,12,-1,0,81,0,0,3,1,0,0,1,14,0,26,
0,77,-1,3600,42,0,1,3,1,0,0,1,17,0,26,
0,75,-1,1900,18,0,2,1,2,0,0,1,18,0,26,
0,37,-1,9600,53,0,1,3,1,0,0,1,17,2,26,
0,122,-1,0,63,0,4,3,1,0,0,1,19,0,26,
0,102,-1,0,51,0,0,1,1,0,0,9,19,0,26,
0,16,-1,0,66,0,0,2,2,0,0,1,16,0,26,
0,8,-1,0,36,0,0,2,2,0,0,1,15,0,26,
0,65,-1,0,19,0,0,2,2,0,0,6,18,0,26,
0,11,-1,0,72,0,0,2,2,0,0,9,19,0,26,
0,81,-1,0,75,0,0,1,2,0,0,1,22,0,26,
0,43,-1,0,54,0,0,4,1,0,0,2,14,0,26,
0,76,-1,0,89,0,0,3,2,0,0,1,16,0,26,
0,7,-1,0,63,0,0,3,2,0,0,2,16,0,26,
0,15,-1,1800,64,0,1,4,1,0,0,1,16,0,26,
0,19,-1,30,30,0,1,3,1,0,0,2,17,0,26,
0,77,-1,0,18,0,9,3,1,0,0,1,18,0,26,
0,14,-1,0,37,0,0,1,2,0,0,1,16,0,26,
0,18,-1,200,74,0,1,2,2,0,0,1,18,0,26,
0,21,-1,0,65,0,0,2,1,0,0,1,16,0,26,
0,77,-1,0,60,0,0,3,1,0,0,1,16,0,26,
0,1,-1,0,86,0,0,1,2,0,0,1,16,0,26,
0,86,-1,-7400,35,0,6,4,1,0,0,9,18,0,26,
0,11,-1,0,89,0,0,2,1,0,0,1,19,0,26,
0,59,-1,0,19,0,1,3,2,0,0,1,18,0,26,
0,67,-1,35000,27,0,1,3,1,0,0,5,16,0,26,
0,22,-1,0,95,0,0,1,2,0,0,1,16,0,26,
0,16,-1,12000,56,0,2,1,1,0,0,1,21,0,26,
0,77,-1,0,89,0,0,3,2,0,0,1,16,0,26,
0,77,-1,5000,22,0,4,3,2,0,0,9,20,11,26,
0,41,-1,0,69,0,0,1,1,0,0,1,19,0,26,
0,83,-1,500,21,0,6,3,2,0,0,2,19,0,26,
0,49,-1,6000,21,0,1,3,2,0,0,2,17,2,26,
0,80,-1,0,33,0,0,3,1,0,0,2,17,0,26,
0,3,-1,0,60,0,0,4,1,0,0,9,1,0,26,
0,10,-1,0,56,0,0,1,2,0,0,1,17,0,26,
0,60,-1,1500,22,0,1,4,1,0,0,1,19,0,26,
0,36,-1,0,16,0,0,2,1,0,0,2,12,0,26,
0,63,-1,5000,20,0,1,4,2,0,0,1,18,0,26,
0,64,-1,0,39,0,0,4,1,0,0,1,16,0,26,
0,18,-1,220,55,0,1,3,2,0,0,2,14,0,26,
0,83,-1,0,37,0,1,3,1,0,0,5,17,0,26,
0,8,-1,0,90,0,0,4,2,0,0,1,12,0,26,
0,4,-1,0,79,0,0,4,2,0,0,1,1,0,26,
0,28,-1,0,66,0,0,2,2,0,0,1,16,0,26,
0,88,-1,20000,34,0,1,3,1,0,0,2,14,0,26,
0,84,-1,0,19,0,6,4,1,0,0,1,18,0,26,
0,6,-1,4200,20,0,4,4,1,0,0,2,19,10,26,
0,20,-1,0,54,0,0,2,1,0,0,1,16,0,26,
0,76,-1,0,60,0,0,2,1,0,0,1,19,0,26,
0,29,-1,29600,42,0,4,3,1,0,0,2,17,0,26,
0,12,-1,0,64,0,0,1,2,0,0,1,16,0,26,
0,9,-1,0,40,0,0,4,1,0,0,2,1,0,26,
0,96,-1,0,86,0,0,1,2,0,0,1,16,0,26,
0,31,-1,0,34,0,1,4,1,0,0,2,14,0,26,
0,22,-1,3000,19,0,3,2,1,0,0,9,18,0,26,
0,54,-1,7000,20,0,2,2,1,0,0,1,19,10,26,
0,14,-1,0,78,0,0,3,1,0,0,2,16,0,26,
0,33,-1,3900,20,0,1,1,2,0,0,1,16,1,26,
0,40,-1,0,28,0,0,2,1,0,0,2,1,0,26,
0,92,-1,0,85,0,0,4,2,0,0,2,16,0,26,
0,36,-1,0,19,0,0,3,1,0,0,5,18,0,26,
0,49,-1,560,46,0,1,4,1,0,0,2,20,0,26,
0,52,-1,7300,20,0,1,1,2,0,0,1,18,10,26,
0,67,-1,0,36,0,1,2,1,0,0,1,17,0,26,
0,29,-1,0,89,0,0,2,1,0,0,1,19,0,26,
0,19,-1,0,62,0,0,2,2,0,0,2,20,0,26,
0,9,-1,0,55,0,0,3,1,0,0,1,19,0,26,
0,6,-1,0,64,0,0,1,1,0,0,2,16,0,26,
