PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
88,0,44,0,4,1,1,16,0
103,16600,56,1,1,1,2,19,0
57,2000,22,4,3,2,1,19,10
8,0,80,0,4,1,1,18,0
90,0,36,0,2,1,9,15,0
69,0,18,0,3,1,9,16,0
41,0,40,4,4,1,1,17,0
80,0,18,2,3,2,6,18,0
31,12000,20,2,3,2,6,19,0
17,0,39,5,1,1,1,22,0
67,0,18,9,4,2,1,18,0
9,0,70,0,1,1,1,22,0
17,0,76,0,4,2,1,16,0
20,0,36,1,4,1,2,17,0
9,0,43,0,4,1,1,16,0
14,0,81,0,2,2,1,16,0
97,2100,21,2,3,2,6,19,0
75,96000,28,5,3,1,2,16,0
67,0,82,0,3,2,1,21,0
3,7000,67,1,2,1,1,10,2
34,8300,18,1,2,1,1,16,0
67,4000,19,1,1,1,1,19,0
101,0,59,0,1,1,1,17,0
32,0,20,0,4,2,9,19,0
21,0,54,9,1,1,1,16,0
44,0,48,0,3,1,8,17,0
80,0,95,0,2,2,1,21,0
106,0,95,0,1,2,1,16,0
29,0,56,1,4,1,1,13,0
114,2500,33,4,1,2,1,16,0
4,0,57,0,2,2,1,16,0
28,7000,23,1,4,2,9,16,1
78,0,38,0,1,1,3,17,0
101,0,19,1,2,1,9,19,0
19,0,28,0,2,1,5,17,0
43,0,21,4,3,1,1,19,0
32,0,66,0,2,1,1,16,0
5,9600,53,1,3,1,1,16,2
10,7000,20,1,2,2,1,19,10
33,600,37,1,2,2,2,16,2
13,38000,23,1,2,1,2,10,0
69,300,18,6,3,1,1,16,11
15,7800,20,1,3,1,1,19,1
32,0,95,0,2,2,1,21,0
3,-10001,14,0,1,2,2,11,0
35,5000,22,4,3,2,9,20,11
72,85000,58,4,2,1,8,20,0
74,0,40,4,4,1,1,17,0
11,0,33,0,2,1,1,11,0
92,0,95,0,3,2,1,16,0
28,0,53,0,4,1,2,19,0
83,0,22,1,4,1,2,18,0
37,0,28,0,2,1,2,17,0
12,0,29,0,1,1,1,15,0
84,0,62,0,1,1,1,16,0
71,0,54,0,1,1,9,16,0
71,600,18,1,1,2,1,18,11
41,0,47,0,1,1,1,20,0
39,0,16,0,2,1,2,12,0
18,0,55,0,4,2,2,19,0
92,1200,18,6,2,2,1,16,0
31,0,27,1,4,2,1,22,0
84,8100,18,1,3,1,1,16,10
32,500,18,4,3,2,6,18,10
21,0,41,0,3,1,2,13,0
26,10000,19,1,3,2,1,19,10
12,0,80,0,2,2,9,1,0
61,6000,19,1,1,1,2,19,1
35,950,18,4,2,1,1,18,1
46,0,19,0,3,1,1,16,0
79,0,95,0,3,1,1,19,0
2,24000,59,6,2,2,1,19,1
23,7700,21,2,3,2,1,19,10
8,0,37,0,2,1,2,16,0
27,24000,59,6,2,2,1,19,1
31,7000,20,2,2,1,1,19,10
11,30000,35,1,3,1,1,16,0
37,5000,19,1,4,2,1,18,0
35,0,37,0,1,1,1,16,0
37,6000,18,1,1,1,2,20,1
76,3800,18,2,2,2,6,18,0
109,14000,25,1,2,1,1,21,2
77,0,17,0,4,1,2,14,0
28,0,43,0,2,1,2,20,0
67,0,50,7,1,1,1,17,0
32,0,50,0,4,1,1,19,0
12,0,62,0,3,2,1,16,0
68,0,32,0,1,1,2,14,0
17,0,82,0,1,1,1,17,0
13,0,95,0,3,2,1,11,0
34,9300,47,1,4,1,2,19,0
82,600,19,1,1,2,6,18,10
58,0,34,0,4,1,2,17,0
38,0,24,0,1,1,2,17,0
12,0,50,7,1,1,1,16,0
113,27600,35,1,3,2,1,1,1
88,6200,20,1,1,1,1,19,0
4,0,67,0,2,2,1,21,0
42,0,64,0,3,2,2,1,0
102,0,19,0,3,1,1,16,0
10,6500,20,1,4,1,1,16,10
50,0,77,0,1,1,1,16,0
117,1200,28,1,4,2,1,13,0
63,0,60,0,3,1,1,19,0
11,0,47,9,3,1,1,17,0
18,0,59,0,2,2,1,1,0
7,1200,40,1,1,1,2,19,1
24,2000,18,1,4,1,1,19,0
